Actions|WIID|Description|Type|Status|Date
|56757539|Calculate Client Security Hash|WI5|Open|2020-04-30
|56757577|Process Vendor Invoice|WI3|Open|2018-12-06
|56757598|Research Client Check Copy|WI2|Open|2019-09-27
|56757541|Calculate Client Security Hash|WI5|Open|2018-10-25
|56757563|Generate Yearly Report for Vendor|WI4|Open|2019-05-09
|56757568|Generate Yearly Report for Vendor|WI4|Open|2019-06-20
|56757572|Process Vendor Invoice|WI3|Open|2019-08-05
|56757555|Generate Yearly Report for Vendor|WI4|Open|2019-01-16
|56757629|Verify Account Position|WI1|Open|2018-04-13
|56757610|Verify Account Position|WI1|Open|2018-07-17
